1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
,459010,468000,475000,482210,475000,465220,462363,455375,462376,446813,458468,464915,470000,475796,494738,482871,480280,480280,508174,512494,515455,520808,529438,523740,525549,520495,519495,515000,509780,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,111.1596584,105.3642117,103.5487751,105.5621743,140.4861237,177.5848008,141.4929887,174.2633141,227.6911152,219.4256114,223.8622386,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,319.050121,314.1897862,287.3345936,272.8224821,254.1844437,254.0673788,208.1598668,239.8743594,251.9262982,238.700099,234.3850612,,
,198000,197790,197470,197030,195850,195500,195540,194260,193800,188490,188430,187560,186960,186380,185830,185680,184900,184780,184520,184690,183200,182810,182160,182020,181680,181300,181160,184230,183060,182030,181430,180700,175340,174090,173790,174940,175850,175180,172190,169640,169530,169760,169560,170510,169560,178380,176470,176840,173250,172240,171640,171820,,
,81.84185508,81.75505311,81.62278345,81.44091266,80.95316827,80.80849833,80.82503203,80.29595337,80.10581573,77.91096598,77.88616542,77.52655727,77.27855165,77.03881288,76.81147439,76.74947299,76.42706568,76.37746456,76.26999545,76.34026371,75.72438309,75.56317943,75.29450668,75.2366387,75.09610218,74.93903195,74.88116397,76.15012607,75.66651511,75.24077212,74.9927665,74.69102633,72.47550944,71.95883107,71.83482826,72.31017236,72.68631422,72.40937461,71.17347993,70.11945604,70.07398834,70.16905717,70.08638862,70.47906419,70.08638862,73.73207126,72.9425867,73.0955235,71.6116232,71.19414707,70.94614145,71.02054313,,
,7175000,7236000,7275000,7354000,7339000,7324000,7309000,7277000,7163000,7102000,7132000,7129000,7075000,7067000,6869000,6894000,6921000,6936000,6829000,6918000,6907000,6913000,6899000,6922000,6990000,6940000,6935000,6886000,6702000,6620000,6567000,6554000,6091000,5911000,5936000,6098000,6368000,6253000,5917000,5876000,5651000,5786000,5659000,5819000,5729000,6094000,6085000,6005000,6049000,5970000,6062000,6212000,,
,0.135890152,0.135887324,0.135601118,0.136185185,0.135037044,0.134020147,0.133027323,0.131801774,0.129198663,0.127588669,0.127593594,0.127108222,0.125901941,0.1256803,0.122168115,0.122642922,0.123163729,0.123424048,0.121411025,0.122846423,0.122608389,0.122758889,0.122468511,0.122682485,0.123606841,0.122438763,0.122090664,0.120959114,0.117420921,0.115638064,0.114358063,0.11382345,0.105529215,0.102150245,0.102311259,0.104836166,0.109196375,0.10691239,0.1008308,0.09977499,0.095585779,0.097455842,0.094873929,0.097002887,0.0948491,0.100153139,0.099229543,0.097157288,0.0971317,0.095114637,0.095828386,0.097526227,,
,29.6573389,29.90947795,30.0706816,30.39722234,30.33522093,30.27321953,30.21121812,30.07894846,29.60773778,29.35559873,29.47960154,29.46720126,29.2439962,29.21092878,28.39251023,28.49584591,28.60744844,28.66944984,28.22717315,28.59504815,28.54958046,28.57438102,28.51651304,28.61158186,28.8926549,28.68598355,28.66531641,28.46277849,27.70222792,27.3632869,27.14421527,27.09048072,25.17670401,24.43268714,24.53602282,25.20563799,26.32166329,25.84631918,24.4574877,24.2880172,23.35799611,23.91600876,23.39106353,24.05241185,23.68040342,25.18910429,25.15190344,24.82122928,25.00310007,24.67655934,25.05683462,25.67684868,,
,3060601,3201027,3261715,3427053,3657704,3791421,3826331,3813396,3699550,3717376,3814169,3804376,3756082,3752402,3655432,3685000,3706043,3816928,3872808,3938550,3979000,4030000,3962000,4038000,4021000,4029000,3940700,3901000,3874255,3657300,3499700,3488604,3032488,3044000,3182136,3357200,3513500,3417800,3141100,3348200,3013315,3245800,3060100,3133200,2917900,2862600,2883000,3272481,3075000,3012500,3076000,3141000,3028000,
,0.496011243,0.475344108,0.512544951,0.471210681,0.450543546,0.446410119,0.442276692,0.434009838,0.405075848,0.400942421,0.38854214,0.376141859,0.367875005,0.359608151,0.351341297,0.334807589,0.326540735,0.322407308,0.330674162,0.322407308,0.310007027,0.301740173,0.293473319,0.281073038,0.293473319,0.281073038,0.281073038,0.281073038,0.281073038,0.272806184,0.272806184,0.26453933,0.252139048,0.252139048,0.23560534,0.231471913,0.23560534,0.219071632,0.210804778,0.214938205,0.210804778,0.206671351,0.202537924,0.202537924,0.19427107,0.186004216,0.190137643,0.190137643,0.177737362,0.190137643,0.186004216,0.190137643,,
